Name,ViewCount,CurrentPosition,WeekStartDate
Kodak Black,28868636,1,20170928
Los Temerarios,25999134,2,20170928
Cardi B,25962874,3,20170928
Taylor Swift,25958686,4,20170928
Lil Uzi Vert,22259027,5,20170928
Kevin Gates,21685959,6,20170928
Future,21541355,7,20170928
Eminem,21130820,8,20170928
XXXTentacion,21020836,9,20170928
Chris Brown,19719403,10,20170928
Banda Sinaloense MS de Sergio Lizárraga,18381634,11,20170928
Yo Gotti,18350968,12,20170928
YoungBoy Never Broke Again,18317777,13,20170928
Gucci Mane,18243987,14,20170928
Vicente Fernández,17996096,15,20170928
Ed Sheeran,17767563,16,20170928
Imagine Dragons,17467348,17,20170928
Post Malone,17321135,18,20170928
Logic,17299197,19,20170928
Ozuna,17076182,20,20170928
21 Savage,16860338,21,20170928
Bruno Mars,16480339,22,20170928
BTS,16444072,23,20170928
Migos,15760465,24,20170928
Beyoncé,15673191,25,20170928
Luis Fonsi,15340771,26,20170928
DJ Khaled,14419663,27,20170928
Los Tigres del Norte,14313739,28,20170928
SZA,14033397,29,20170928
Michael Jackson,13746389,30,20170928
Chief Keef,13495651,31,20170928
Khalid,13342323,32,20170928
Katy Perry,13338139,33,20170928
Daddy Yankee,13305114,34,20170928
Wiz Khalifa,13151412,35,20170928
Joan Sebastian,13109675,36,20170928
Los Bukis,13009600,37,20170928
J Balvin,13008666,38,20170928
Lil Pump,12935826,39,20170928
Meek Mill,12873052,40,20170928
Mike WiLL Made-It,12729770,41,20170928
Rihanna,12477326,42,20170928
Lil Wayne,12410373,43,20170928
Tay-K,12271704,44,20170928
Kendrick Lamar,12262341,45,20170928
Los Caminantes,12231944,46,20170928
Linkin Park,11761677,47,20170928
Shakira,11414833,48,20170928
A Boogie wit da Hoodie,11289596,49,20170928
Russ,11180192,50,20170928
Romeo Santos,10881246,51,20170928
Drake,10550395,52,20170928
Melanie Martinez,10349890,53,20170928
The Weeknd,10310451,54,20170928
The Chainsmokers,10168737,55,20170928
Laberinto,9990783,56,20170928
Calibre 50,9893188,57,20170928
TWENTY ØNE PILØTS,9888995,58,20170928
Demi Lovato,9679434,59,20170928
Chalino Sánchez,9653000,60,20170928
blackbear,9460147,61,20170928
Nicki Minaj,9444227,62,20170928
$uicideboy$,9327490,63,20170928
Grupo Bronco,9253250,64,20170928
Sam Smith,9145872,65,20170928
Marco Antonio Solís,8877581,66,20170928
Los Tucanes De Tijuana,8840124,67,20170928
French Montana,8824976,68,20170928
Tierra Cali,8650708,69,20170928
Jacquees,8642989,70,20170928
Tupac,8375022,71,20170928
Skillet,8152980,72,20170928
Metallica,8136918,73,20170928
Elvis Presley,8131281,74,20170928
Juan Gabriel,8105346,75,20170928
Los Plebes del Rancho de Ariel Camacho,8014525,76,20170928
Young Thug,7979293,77,20170928
Bad Bunny,7961240,78,20170928
R. Kelly,7691576,79,20170928
2 Chainz,7604776,80,20170928
Travis Scott,7526974,81,20170928
Maroon 5,7377160,82,20170928
Coldplay,7339319,83,20170928
Jenni Rivera,7304858,84,20170928
Enrique Iglesias,7296366,85,20170928
Ayo & Teo,7292616,86,20170928
Ariana Grande,7167295,87,20170928
Bhad Bhabie,7160899,88,20170928
Tee Grizzley,7136906,89,20170928
Pink Floyd,7084723,90,20170928
Justin Bieber,7032245,91,20170928
Justin Timberlake,6958223,92,20170928
Willy William,6957839,93,20170928
Rae Sremmurd,6923782,94,20170928
Charlie Puth,6869778,95,20170928
Kesha,6856265,96,20170928
Luke Combs,6841639,97,20170928
Panic! at the Disco,6812072,98,20170928
Kanye West,6796202,99,20170928
Fall Out Boy,6678471,100,20170928
Kodak Black,28868530,1,20171005
Los Temerarios,27172377,2,20171005
Tom Petty,25938162,3,20171005
Cardi B,25609542,4,20171005
