Song,Artist,Week,Rank
 Sexy And I Know It,LMFAO,2012-01-07,1
 We Found Love,"Rihanna, feat. Calvin Harris",2012-01-07,2
The One That Got Away,Katy Perry,2012-01-07,3
 It Will Rain,Bruno Mars,2012-01-07,4
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-01-07,5
 Good Feeling,Flo Rida,2012-01-07,6
 Set Fire To The Rain,Adele,2012-01-07,7
 Someone Like You,Adele,2012-01-07,8
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-01-07,9
 Dance (A$$),"Big Sean, ft. Nicki Minaj",2012-01-07,10
 Stereo Hearts,"Gym Class Heroes, ft. Adam Levine",2012-01-07,11
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-01-07,12
 5 O'Clock,"T-Pain, feat. Wiz Khalifa & Lily Allen",2012-01-07,13
 Without You,"David Guetta, ft. Usher",2012-01-07,14
 Headlines,Drake,2012-01-07,15
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-01-07,16
 Work Out,J. Cole,2012-01-07,17
 Red Solo Cup,Toby Keith,2012-01-07,18
 Mistletoe,Justin Bieber,2012-01-07,19
 Pumped Up Kicks,Foster The People,2012-01-07,20
The Motto,"Drake, ft. Lil Wayne",2012-01-07,21
 You Da One,Rihanna,2012-01-07,22
 Not Over You,Gavin DeGraw,2012-01-07,23
 Make Me Proud,"Drake, ft. Nicki Minaj",2012-01-07,24
 Domino,Jessie J,2012-01-07,25
 I Don't Want This Night To End,Luke Bryan,2012-01-07,26
 Love You Like A Love Song,Selena Gomez & The Scene,2012-01-07,27
 Super Bass,Nicki Minaj,2012-01-07,28
 I Like It Like That,"Hot Chelle Rae, ft. New Boyz",2012-01-07,29
 Safe & Sound,"Taylor Swift, ft. The Civil Wars",2012-01-07,30
 You Make Me Feel...,"Cobra Starship, ft. Sabi",2012-01-07,31
 Mr. Know It All,Kelly Clarkson,2012-01-07,32
 International Love,"Pitbull, feat. Chris Brown",2012-01-07,33
 It Girl,Jason Derulo,2012-01-07,34
 Rolling In The Deep,Adele,2012-01-07,35
 She Will,"Lil Wayne, ft. Drake",2012-01-07,36
 Just A Kiss,Lady Antebellum,2012-01-07,37
 Give Me Everything,"Pitbull, feat. Ne-Yo, AfroJack & Nayer",2012-01-07,38
 Marry The Night,Lady Gaga,2012-01-07,39
 Tattoos On This Town,Jason Aldean,2012-01-07,40
 Strange Clouds,"B.o.B, ft. Lil Wayne",2012-01-07,41
 Fly,"Nicki Minaj, ft. Rihanna",2012-01-07,42
 Paradise,Coldplay,2012-01-07,43
 Rack City,Tyga,2012-01-07,44
 Ours,Taylor Swift,2012-01-07,45
 God Gave Me You,Blake Shelton,2012-01-07,46
 Blackout,Breathe Carolina,2012-01-07,47
 Lotus Flower Bomb,"Wale, feat. Miguel",2012-01-07,48
 Take Care,"Drake, ft. Rihanna",2012-01-07,49
 Easy,"Rascal Flatts, feat. Natasha Bedingfield",2012-01-07,50
 Sexy And I Know It,LMFAO,2012-01-14,1
 We Found Love,"Rihanna, feat. Calvin Harris",2012-01-14,2
The One That Got Away,Katy Perry,2012-01-14,3
 It Will Rain,Bruno Mars,2012-01-14,4
